"","GSM1237722","GSM1237723","GSM1237724","GSM1237725","GSM1237726","GSM1237727","GSM1237728","GSM1237729","GSM1237730","GSM1237731","GSM1237732","GSM1237733"
"Itgam",3.71395848156359,3.70198943009707,3.66063153970841,4.6416224488888,4.75769280707104,4.77364057530484,3.85404293807033,3.78049818396774,3.58969850521604,3.64108449481295,3.66402610834877,3.59995963423802
"Itgb7",2.51319749412539,2.55624404846885,2.4435004113813,3.9849643650726,3.92114788766667,3.98812281012925,2.75704940125744,2.60856817246111,2.62169738681025,2.45562287514773,2.49459730148773,2.55373079005992
"Jarid2",2.10417174210205,2.11608610490021,1.94417908270058,3.17523203076638,3.16022599864921,3.17517614358048,2.32070990284324,2.10288062331487,1.95213984211833,2.08358245111361,1.93206439318177,1.9717749387466
"Junb",2.68850218743972,2.95496069048746,2.7051362300563,3.62175112329942,3.67873727294637,3.68009858309158,2.88304539020639,2.66542277677637,2.49530927674748,2.55227896546699,2.36933158162731,2.71835799050848
"Napsa",2.55028191856621,2.54035574053267,2.48192923125717,3.62410199796205,3.68396454977793,3.68714987570594,2.80458384275385,2.73457869505901,2.46354453913545,2.59363021092085,2.44440589459984,2.42767434556135
"Kdr",2.16088430048793,2.05829321015115,1.96354059217322,3.18640207216832,3.26029195051918,3.24624083144292,2.06115529983222,2.22525587640194,1.98036742274797,2.10167059432564,2.11650995397569,1.97390515792819
"Kif11",2.6469507444347,2.69972809899745,2.65501187893974,0.968346574224844,0.759540399053748,0.88326953338608,2.91753863599965,2.85765679476187,2.46783432273385,2.61849617240978,2.71472880950822,2.5823879784538
"Kif4",2.46376895226655,2.44812479626559,2.39683456624925,1.12674506437143,1.04720907142174,1.11391570182139,2.46684214913983,2.48257997295911,2.38352831239084,2.37874213411377,2.42016570152722,2.34021718539074
"Klf3",1.84782651002415,1.87917916549463,1.96513648665715,2.79981484373429,2.93346032437934,2.87764372727894,2.14947652662909,2.20034092060418,2.0192243417488,1.80006469810028,2.0096649248148,1.74765126548769
"Klk1b11",1.43046942394193,1.27539656675456,1.47781491959334,2.27783284179066,2.43669224592514,2.53714377345659,1.34710925766233,1.2659971860616,1.55206080806251,1.33082492389707,1.24257900659491,1.46818568994468
"Klra2",0.863016536597312,0.892437468830988,0.998797209466355,1.95280559312818,2.01495253836179,1.98637053004163,0.780238872272588,0.803734644949047,0.743013549078736,0.825550753567397,0.637621652658363,0.745821950347448
"Mafb",2.54372034717907,2.37932596800708,2.40540267468361,3.54353427294443,3.50610695599949,3.57392876052164,2.69514878183403,2.62743861575569,2.50550388179607,2.54751649694997,2.42069342397038,2.39342244645344
"Stmn1",4.78600390113273,4.82460444449305,4.83179253738581,3.00048991019188,3.05599815999253,3.1085180244907,4.99483417237135,4.97781217407111,4.81547540530173,4.88543883422281,4.8324579116561,4.81245031941985
